PID COMMAND
1881 /usr/libexec/gnome-shell-calendar-server
3727 /usr/libexec/gnome-terminal-server
2049 /usr/libexec/goa-daemon
2132 /usr/libexec/goa-identity-service
1908 /usr/libexec/gsd-a11y-settings
1910 /usr/libexec/gsd-color
1912 /usr/libexec/gsd-datetime
1966 /usr/libexec/gsd-disk-utility-notify
1915 /usr/libexec/gsd-housekeeping
1921 /usr/libexec/gsd-keyboard
1926 /usr/libexec/gsd-media-keys
1927 /usr/libexec/gsd-power
2114 /usr/libexec/gsd-printer
1929 /usr/libexec/gsd-print-notifications
1930 /usr/libexec/gsd-rfkill
1931 /usr/libexec/gsd-screensaver-proxy
1939 /usr/libexec/gsd-sharing
1942 /usr/libexec/gsd-smartcard
1945 /usr/libexec/gsd-sound
1947 /usr/libexec/gsd-wacom
2877 /usr/libexec/gsd-xsettings
2178 /usr/libexec/gvfs-afc-volume-monitor
1743 /usr/libexec/gvfsd
1754 /usr/libexec/gvfsd-fuse
2444 /usr/libexec/gvfsd-metadata
3707 /usr/libexec/gvfsd-recent
2300 /usr/libexec/gvfsd-trash
2167 /usr/libexec/gvfs-goa-volume-monitor
2157 /usr/libexec/gvfs-gphoto2-volume-monitor
2186 /usr/libexec/gvfs-mtp-volume-monitor
2082 /usr/libexec/gvfs-udisks2-volume-monitor
2103 /usr/libexec/ibus-dconf
2267 /usr/libexec/ibus-engine-simple
2106 /usr/libexec/ibus-extension-gtk3
2112 /usr/libexec/ibus-portal
2921 /usr/libexec/ibus-x11
2939 /usr/libexec/mutter-x11-frames
779 /usr/libexec/power-profiles-daemon
1096 /usr/libexec/rtkit-daemon
792 /usr/libexec/switcheroo-control
2396 /usr/libexec/tracker-miner-fs-3
807 /usr/libexec/udisks2/udisksd
1253 /usr/libexec/upowerd
2334 /usr/libexec/xdg-desktop-portal
2397 /usr/libexec/xdg-desktop-portal-gnome
2438 /usr/libexec/xdg-desktop-portal-gtk
1622 /usr/libexec/xdg-document-portal
1635 /usr/libexec/xdg-permission-store
772 /usr/lib/polkit-1/polkitd
786 /usr/lib/snapd/snapd
351 /usr/lib/systemd/systemd-journald
806 /usr/lib/systemd/systemd-logind
595 /usr/lib/systemd/systemd-oomd
605 /usr/lib/systemd/systemd-resolved
626 /usr/lib/systemd/systemd-timesyncd
425 /usr/lib/systemd/systemd-udevd
1569 /usr/lib/systemd/systemd
789 /usr/sbin/cron
1038 /usr/sbin/cups-browsed
1016 /usr/sbin/cupsd
1036 /usr/sbin/gdm3
1048 /usr/sbin/kerneloops
1045 /usr/sbin/kerneloops
904 /usr/sbin/ModemManager
835 /usr/sbin/NetworkManager
816 /usr/sbin/rsyslogd
842 /usr/sbin/wpa_supplicant
51 [watchdogd]
